opeid6,level,sector,hbcu,completion_rate_150,share_outstanding_ug_5,cdr3_wgtd,pct25_earn_wne_p10,est_fte,white_share,black_share,hisp_share,asian_share,aian_share,nhpi_share,twomore_share,nra_share,unkn_share
3674,Four-year,Nonprofit 4-year,0,0.13625091,1.166747069,0.15372133,15400,17835,0.279200111,0.133814491,0.057661173,0.005730397,0.004371481,0.004462219,0.099353512,0.000633414,0.414864551
3675,Four-year,Public 4-year,0,0.69499999,0.855722751,0.0083592,31000,27700,0.6807,0.0134,0.129,0.058,0.0039,0.0047,0.0567,0.0448,0.0089
3677,Four-year,Public 4-year,0,0.49590001,0.792284031,0.0165032,23100,22563,0.8232,0.0086,0.0608,0.0104,0.0163,0.0035,0.022,0.0117,0.0436
3678,Four-year,Public 4-year,0,0.49259999,0.832416233,0.050657399,19700,8626,0.7403,0.0252,0.0666,0.0145,0.0149,0.0143,0.0016,0.0584,0.064
3679,Four-year,Public 4-year,0,0.45089999,0.756146842,0.043275598,15100,3722,0.869,0.0056,0.0631,0.0012,0.0024,0.0074,0.005,0.0442,0.0021
3680,Four-year,Public 4-year,0,0.3371,0.872638919,0.0123618,24800,18252,0.7445,0.0188,0.1229,0.0199,0.0059,0.0059,0.0325,0.0156,0.0342
3681,Four-year,Nonprofit 4-year,0,0.60549998,0.751586688,0.014896,31600,2374,0.7025,0.0231,0.1208,0.0298,0.0057,0.0021,0.0478,0.0411,0.0272
3682,Four-year,Nonprofit 4-year,0,0.74110001,0.658738657,0.0132732,15200,868,0.5917,0.0361,0.1014,0.0139,0.0014,0.0014,0.0319,0.1736,0.0486
3683,Four-year,Public 4-year,0,0.55010003,0.835931486,0.035094801,24900,2000,0.823,0.0355,0.0276,0.0124,0.0028,0.0017,0.0321,0.0321,0.0327
3684,Four-year,Nonprofit 4-year,0,0.64170003,0.76978857,0.0278512,29400,3665,0.6772,0.0751,0.0887,0.0312,0.0035,0.0019,0.0342,0.0049,0.0833
3685,Four-year,Nonprofit 4-year,0,0.54170001,1.059968148,0.135489,21800,275,0.6014,0.2517,0.1259,0.014,0.007,0,0,0,0
3687,Four-year,Nonprofit 4-year,0,0.51670003,0.86311074,0.050312798,19100,566,0.6941,0.0541,0.0565,0.0165,0.0094,0,0.0188,0.0094,0.1412
3688,Four-year,Public 4-year,0,0.39019999,0.961131273,0.058411799,21200,2045,0.8094,0.041,0.0367,0.0091,0.0057,0.0033,0.0438,0.0052,0.0457
3690,Four-year,Nonprofit 4-year,0,0.625,0.852833008,0.039956,13900,195,0.7286,0.0429,0.0214,0.0286,0,0,0.0214,0.0214,0.1357
3691,Four-year,Nonprofit 4-year,0,0.91119999,0.518200226,0.003092583,36500,3962,0.620759295,0.039921722,0.101393346,0.07046184,0,0.000399217,0.050900196,0.100195695,0.016068493
3692,Four-year,Nonprofit 4-year,0,0.62169999,0.736809992,0.022334199,35200,3766,0.717,0.0458,0.0971,0.0308,0.0067,0.0026,0.042,0.0234,0.0346
3694,Four-year,Nonprofit 4-year,0,0.76840001,0.623503433,0.0130262,34800,1977,0.8205,0.0242,0.058,0.0181,0.0018,0.0012,0.0205,0.0296,0.026
3696,Four-year,Public 4-year,0,0.7633,0.66687452,0.0107575,31500,12278,0.8177,0.0122,0.0377,0.0274,0.0005,0.0001,0.0316,0.0487,0.0242
3698,Four-year,Public 4-year,0,0.51380002,0.700999534,0.0323456,27800,1299,0.7363,0.0156,0.02,0.0089,0.0037,0,0.1756,0.0193,0.0207
3702,Four-year,Nonprofit 4-year,0,0.4163,1.078032799,0.057755481,27200,1414,0.5263383,0.302835061,0.032407287,0.007322105,0.006446154,0.00401085,0.033974737,0.043752146,0.04291336
3703,Four-year,Nonprofit 4-year,0,0.29049999,1.01026133,0.068860799,24800,1127,0.6043,0.248,0.0451,0.0023,0.0023,0.0023,0.0372,0.0304,0.0282
3704,Four-year,Nonprofit 4-year,0,0.63950002,0.774492645,0.031166401,29400,1829,0.6475,0.1645,0.0689,0.0131,0.0033,0.0016,0.0546,0.0164,0.0301
3705,Four-year,Public 4-year,0,0.91109997,0.604888005,0.003577,40300,7963,0.591,0.0715,0.0942,0.0756,0.0016,0.0006,0.0502,0.06,0.0553
3706,Four-year,Public 4-year,0,0.72460002,0.76164554,0.0075472,32400,4833,0.7523,0.0649,0.0573,0.0309,0.0025,0.0008,0.0548,0.0035,0.033
3707,Two-year,Public 2-year,0,0.31639999,1.108798811,0.0250984,22200,1281,0.4211,0.4145,0.045,0.023,0.0022,0,0.0373,0.0417,0.0154
3708,Four-year,Nonprofit 4-year,0,0.59909999,0.729588655,0.0228076,24800,1301,0.6932,0.0874,0.0738,0.0252,0.0029,0.0019,0.0437,0.0359,0.0359
3709,Four-year,Nonprofit 4-year,0,0.5984,0.916324998,0.069747999,26700,1267,0.7749,0.0861,0.0405,0.0114,0.001,0,0.0405,0.0041,0.0415
3711,Four-year,Nonprofit 4-year,0,0.27270001,1.07095234,0.1078956,25600,1014,0.5112,0.331,0.0517,0.0054,0.0098,0.0027,0.0562,0.0071,0.025
3712,Two-year,Public 2-year,0,0.229,1.104838666,0.033712201,17000,13980,0.456,0.3131,0.0956,0.0438,0.0045,0.0055,0.0623,0.0076,0.0118
3713,Four-year,Nonprofit 4-year,0,0.6559,0.744205008,0.035172898,35200,1076,0.8563,0.0485,0.0382,0.0065,0.0047,0.0009,0.0308,0.0037,0.0103
3714,Four-year,Nonprofit 4-year,1,0.57569999,1.190272557,0.0601128,27000,4318,0.0142,0.9593,0.0131,0.0014,0.0025,0.0003,0.0003,0.0082,0.0008
3715,Four-year,Nonprofit 4-year,0,0.55470002,0.955975973,0.035195,20500,926,0.6426,0.1021,0.0736,0.021,0.006,0.003,0.0661,0.0661,0.0195
3719,Four-year,Public 4-year,0,0.68529999,0.822619904,0.022743,29200,4471,0.7421,0.0986,0.0551,0.0109,0.0037,0.0005,0.0405,0.0139,0.0348
3720,Four-year,Nonprofit 4-year,0,0.6117,0.859312037,0.038817,29100,2487,0.7583,0.1067,0.0478,0.0151,0.005,0.0005,0.0312,0.0141,0.0211
3721,Four-year,Public 4-year,0,0.83630002,0.658950084,0.0086388,37800,21128,0.7499,0.0482,0.0679,0.045,0.0011,0.0011,0.0466,0.018,0.022
3723,Four-year,Nonprofit 4-year,0,0.4711,1.088013515,0.064000301,24800,1446,0.5321,0.2428,0.0913,0.0128,0.0104,0.0008,0.0473,0.0072,0.0553
